,News Outlet,User,Date,Tweet,Compound,Positive,Neutral,Negative,Tweet Ago
382,@CNN,"Daniel Gonzalez, MBA",Sat Mar 10 22:40:02 +0000 2018,"RT @CNN: Anthony C. Acevedo, the first Mexican-American to register as a Holocaust survivor, was a World War II medic and one of 350 US sol…",-0.34,0.088,0.137,0.775,83
383,@CNN,Midwest Progressive,Sat Mar 10 22:40:00 +0000 2018,@DrunkMattGaetz @CNN Nope,0.0,0.0,0.0,1.0,84
384,@CNN,M,Sat Mar 10 22:39:59 +0000 2018,@CNN Who?,0.0,0.0,0.0,1.0,85
385,@CNN,Candace Nelson,Sat Mar 10 22:39:59 +0000 2018,"RT @WomenGirlsLead: ""Barbie dolls have long inspired young girls with their beauty and fashion sense. Now they're inspiring them with their…",0.8689,0.353,0.0,0.647,86
386,@CNN,✈🇺🇸Fred #fef520🇺🇸✈,Sat Mar 10 22:39:58 +0000 2018,"RT @dretiquette: #InMyAwkwardYears I stabbed a police horse, hated on America, waged war on white men, lived in my parents basement, and re…",-0.9001,0.0,0.379,0.621,87
387,@CNN,Shannon Lesley,Sat Mar 10 22:39:55 +0000 2018,"RT @atensnut: When First Lady Melania Trump sets up her “WAR ON WOMEN” THEN You Get Back to Us, BIASED MEDIA @CNN @ABC @NBCNews @MSNBC http…",-0.4278,0.0,0.102,0.898,88
388,@CNN,Ted  Pert,Sat Mar 10 22:39:54 +0000 2018,"RT @petefrt: For a Running Account of Trump Administration Accomplishment, see https://t.co/wLnDn0Fzuy

#MAGA 

@abc @cbs @nbc @cnn @pbs @m…",0.0,0.0,0.0,1.0,89
389,@CNN,Ray From,Sat Mar 10 22:39:54 +0000 2018,@CNN Another lie,0.0,0.0,0.0,1.0,90
390,@CNN,OLD IVORY,Sat Mar 10 22:39:53 +0000 2018,RT @MaryannDesiante: We are totally aware of @jaredkushner ability to put our country in danger and pawn us all off for personal loans to b…,-0.2732,0.08,0.118,0.801,91
391,@CNN,Hawaii Shira,Sat Mar 10 22:39:52 +0000 2018,RT @CNN: President Trump's estranged adviser Steve Bannon tells a far-right gathering in France that they should handle accusations of raci…,-0.3182,0.0,0.108,0.892,92
392,@CNN,KayLee,Sat Mar 10 22:39:52 +0000 2018,RT @moekamerow: @CNN  https://t.co/eK3WkMCzQ3,0.0,0.0,0.0,1.0,93
393,@CNN,Jonathan,Sat Mar 10 22:39:51 +0000 2018,@9x18mm @jbristol11 @IngrahamAngle @CNN Just stating a fact 🤷,0.0,0.0,0.0,1.0,94
394,@CNN,Carmel baptiste-Wojtyla10/16/1978,Sat Mar 10 22:39:51 +0000 2018,RT @CNN: President Trump's estranged adviser Steve Bannon tells a far-right gathering in France that they should handle accusations of raci…,-0.3182,0.0,0.108,0.892,95
395,@CNN,MGM,Sat Mar 10 22:39:46 +0000 2018,@CNN When a democrat accuses someone of racism it’s usually because they have no legitimate arguement. That’s what he means.,-0.8271,0.0,0.352,0.648,96
396,@CNN,Tracy,Sat Mar 10 22:39:46 +0000 2018,"RT @CNN: Fred Guttenberg, whose daughter died in the Florida school shooting, rips new NRA ad: ""If this was put out by a terrorist organiza…",-0.8519,0.0,0.274,0.726,97
397,@CNN,KayLee,Sat Mar 10 22:39:46 +0000 2018,RT @willhoerter: @moekamerow @CNN I saved this Newsweek magazine for Hillary just in case she wants to read about a real deplorable scumbag…,0.4215,0.123,0.0,0.877,98
398,@CNN,Barbara Byrne 👻 💂,Sat Mar 10 22:39:45 +0000 2018,@PaulHollywood @malejudge @TheSun @nytimes @thismorning @CNN @TheSlyStallone @TheEllenShow @ThisAmerLife @BBCWorld… https://t.co/0FWHLGabEc,0.0,0.0,0.0,1.0,99
399,@CNN,Pravin,Sat Mar 10 22:39:45 +0000 2018,RT @mayamagic22: We had a productive meeting at Senator @RoyBlunt 's office. The field representative patiently listened to our stories. We…,0.0,0.0,0.0,1.0,100
400,@CNN,R.B. Martin,Sat Mar 10 22:40:32 +0000 2018,@iwrotesham @CNN The world is a walking wound. I disagree - we have to let the pus out. We have to reveal the under… https://t.co/8EGS8VV6wt,-0.3818,0.0,0.11,0.89,101
401,@CNN,RipCitySavvy,Sat Mar 10 22:40:31 +0000 2018,@CNN  https://t.co/l7Y3WYEsKw,0.0,0.0,0.0,1.0,102
402,@CNN,Nestor Ortega,Sat Mar 10 22:40:31 +0000 2018,"RT @CNN: The kind of floods we've only seen during storms might someday become regular events as sea levels rise due to global warming, a n…",0.1531,0.062,0.0,0.938,103
403,@CNN,jon,Sat Mar 10 22:40:31 +0000 2018,@CNN Disgusting network.,-0.5267,0.0,0.63,0.37,104
404,@CNN,Kevo,Sat Mar 10 22:40:29 +0000 2018,"RT @CNN: ""Black Panther"" to cross $1 billion worldwide in less than a month https://t.co/HKIJkqfpvn https://t.co/q6pnbyPeJ8",0.0,0.0,0.0,1.0,105
405,@CNN,Penny,Sat Mar 10 22:40:28 +0000 2018,@PharaohThomasX @TallahForTrump @CNN LOL!😁 https://t.co/0GnNukFtzn,0.0,0.0,0.0,1.0,106
406,@CNN,neuroticnancy,Sat Mar 10 22:40:28 +0000 2018,RT @CNN: Porn star Stormy Daniels says Trump scandal has been good for business https://t.co/CWliGpCPF5 https://t.co/VXZew4GxnF,0.0,0.146,0.146,0.707,107
407,@CNN,..,Sat Mar 10 22:40:27 +0000 2018,RT @CNN: Porn star Stormy Daniels says Trump scandal has been good for business https://t.co/CWliGpCPF5 https://t.co/VXZew4GxnF,0.0,0.146,0.146,0.707,108
408,@CNN,barstoolsailor,Sat Mar 10 22:40:26 +0000 2018,Watching TWN (Tiger Wood Network)on @NBCNews is like watching @CNN and @MSNBC thrash @POTUS #maga.  Tiger love In 2… https://t.co/R0qXjhVx3t,0.7717,0.271,0.0,0.729,109
409,@CNN,Tammie 🕊,Sat Mar 10 22:40:26 +0000 2018,@CNN I’m so sorry France!! 🙈🙈 Thanks a lot Trumpsters!!! https://t.co/8Pez8ZUKRW,0.515,0.295,0.126,0.579,110
410,@CNN,Nino,Sat Mar 10 22:40:23 +0000 2018,"RT @Nino95920078: @realDonaldTrump @CNN @MSNBC * BAD RATINGS WILL NOT BEAT TRUMP !

THROAT CANCER WILL !

I HAVE SEEN THE VISION OF DIVINE…",-0.8488,0.092,0.335,0.573,111
411,@CNN,forbin,Sat Mar 10 22:40:22 +0000 2018,@CNN Cnn jumps the shark ..........again,0.0,0.0,0.0,1.0,112
412,@CNN,eighyfourbastards,Sat Mar 10 22:40:18 +0000 2018,@mutter01 @JulioAn24007208 @MitchellDStein1 @IronmanMann @CNN @FoxNews Cnn supporter we all knew but here is the pr… https://t.co/KCo5tvgrzF,0.1406,0.088,0.0,0.912,113
413,@CNN,phil,Sat Mar 10 22:40:16 +0000 2018,@CNN  https://t.co/KA2YM4Z9B4,0.0,0.0,0.0,1.0,114
414,@CNN,Marianne,Sat Mar 10 22:40:15 +0000 2018,RT @yogagenie: Jared Kushner is quietly tackling Washington's swamp @CNN https://t.co/4mL1mOFqlh,0.0,0.0,0.0,1.0,115
415,@CNN,Greg,Sat Mar 10 22:40:15 +0000 2018,@marklevinshow @CNN was taken by surprise with the sudden announcement and were late getting their talking points m… https://t.co/WtmkjLh6JV,0.2732,0.104,0.0,0.896,116
416,@CNN,Moshe Francis,Sat Mar 10 22:40:10 +0000 2018,@JLewis10068 @willhoerter @CNN  https://t.co/25lO131tQG,0.0,0.0,0.0,1.0,117
417,@CNN,dave,Sat Mar 10 22:40:10 +0000 2018,@Carpentersfor45 @CNN Cmon that’s an easy one lol,0.6908,0.487,0.0,0.513,118
418,@CNN,The Tweetwit,Sat Mar 10 22:40:09 +0000 2018,RT @SargeWhitney: @realDonaldTrump @palmbeachpost @miamiherald @washingtonpost @cnn @dcexaminer @usedgov @nytimes @MELANIATRUMP @IvankaTrum…,0.0,0.0,0.0,1.0,119
419,@CNN,Red Foreman,Sat Mar 10 22:40:08 +0000 2018,"RT @RealJamesWoods: If this happened while Obama was lurking in the White House, @CNN would be pushing for another Nobel Prize... https://t…",-0.128,0.0,0.067,0.933,120
420,@CNN,Giorno,Sat Mar 10 22:40:08 +0000 2018,RT @CNN: President Trump's estranged adviser Steve Bannon tells a far-right gathering in France that they should handle accusations of raci…,-0.3182,0.0,0.108,0.892,121
421,@CNN,pete602,Sat Mar 10 22:40:08 +0000 2018,"Poll: Satisfaction with Trump economy reaches 17-year high

ICYMI @abc @cbs @nbc @cnn @pbs @msnbc @NYTimes… https://t.co/ryV7g7sspz",0.4767,0.215,0.0,0.785,122
422,@CNN,Kara Daniele,Sat Mar 10 22:40:07 +0000 2018,@LeaBlackMiami @CNN @MSNBC Yeah I hope their days of carrying every trump minute are over,0.6249,0.298,0.0,0.702,123
423,@CNN,THELONEWOLVES,Sat Mar 10 22:40:07 +0000 2018,@KatyTurNBC @SenatorMenendez @MSNBC @CNN @AriMelber @JoyAnnReid @CoryBooker @KamalaHarris @FBI @chrislhayes @maddow… https://t.co/nuCMxR14jj,0.0,0.0,0.0,1.0,124
424,@CNN,Steve Salerno,Sat Mar 10 22:40:06 +0000 2018,@hipstorian @CNN This raises an interesting philosophical discussion however. Is the point to teach children? Or to… https://t.co/ZGhgeMown3,0.4019,0.137,0.0,0.863,125
425,@CNN,Flracinggirl🌊🇺🇸🏁❄️,Sat Mar 10 22:40:06 +0000 2018,"RT @IronmanMann: Who do you trust more — @CNN or @FoxNews ?

(Please Retweet for a sufficient sample can be taken. Thanks!)",0.5562,0.166,0.0,0.834,126
426,@CNN,J A G,Sat Mar 10 22:40:05 +0000 2018,"RT @CNN: Anthony C. Acevedo, the first Mexican-American to register as a Holocaust survivor, was a World War II medic and one of 350 US sol…",-0.34,0.088,0.137,0.775,127
427,@CNN,sissy goodrum,Sat Mar 10 22:40:05 +0000 2018,RT @CNN: The week President Trump rewarded enemies and punished friends https://t.co/h9ZNBoxZ9q https://t.co/wgTo39OKvt,0.0258,0.293,0.288,0.419,128
428,@CNN,Thomas A Edward,Sat Mar 10 22:40:05 +0000 2018,RT @CNN: The week President Trump rewarded enemies and punished friends https://t.co/h9ZNBoxZ9q https://t.co/wgTo39OKvt,0.0258,0.293,0.288,0.419,129
429,@CNN,Alana Clark,Sat Mar 10 22:40:04 +0000 2018,"RT @CNN: Toys ""R"" Us may close all of its US stores as soon as next week, according to several reports https://t.co/Xu3TNkxYfu https://t.co…",0.0,0.0,0.0,1.0,130
430,@CNN,Anita Roth,Sat Mar 10 22:40:03 +0000 2018,@CNN She's proud to be abused. Woopteedoo,-0.0516,0.272,0.289,0.439,131
431,@CNN,Nick Hedley,Sat Mar 10 22:40:03 +0000 2018,@CNN Sigh.,0.0258,0.524,0.0,0.476,132
432,@CNN,"Daniel Gonzalez, MBA",Sat Mar 10 22:40:02 +0000 2018,"RT @CNN: Anthony C. Acevedo, the first Mexican-American to register as a Holocaust survivor, was a World War II medic and one of 350 US sol…",-0.34,0.088,0.137,0.775,133
433,@CNN,Midwest Progressive,Sat Mar 10 22:40:00 +0000 2018,@DrunkMattGaetz @CNN Nope,0.0,0.0,0.0,1.0,134
434,@CNN,M,Sat Mar 10 22:39:59 +0000 2018,@CNN Who?,0.0,0.0,0.0,1.0,135
435,@CNN,Candace Nelson,Sat Mar 10 22:39:59 +0000 2018,"RT @WomenGirlsLead: ""Barbie dolls have long inspired young girls with their beauty and fashion sense. Now they're inspiring them with their…",0.8689,0.353,0.0,0.647,136
436,@CNN,✈🇺🇸Fred #fef520🇺🇸✈,Sat Mar 10 22:39:58 +0000 2018,"RT @dretiquette: #InMyAwkwardYears I stabbed a police horse, hated on America, waged war on white men, lived in my parents basement, and re…",-0.9001,0.0,0.379,0.621,137
437,@CNN,Shannon Lesley,Sat Mar 10 22:39:55 +0000 2018,"RT @atensnut: When First Lady Melania Trump sets up her “WAR ON WOMEN” THEN You Get Back to Us, BIASED MEDIA @CNN @ABC @NBCNews @MSNBC http…",-0.4278,0.0,0.102,0.898,138
438,@CNN,Ted  Pert,Sat Mar 10 22:39:54 +0000 2018,"RT @petefrt: For a Running Account of Trump Administration Accomplishment, see https://t.co/wLnDn0Fzuy

#MAGA 

@abc @cbs @nbc @cnn @pbs @m…",0.0,0.0,0.0,1.0,139
439,@CNN,Ray From,Sat Mar 10 22:39:54 +0000 2018,@CNN Another lie,0.0,0.0,0.0,1.0,140
440,@CNN,OLD IVORY,Sat Mar 10 22:39:53 +0000 2018,RT @MaryannDesiante: We are totally aware of @jaredkushner ability to put our country in danger and pawn us all off for personal loans to b…,-0.2732,0.08,0.118,0.801,141
441,@CNN,Hawaii Shira,Sat Mar 10 22:39:52 +0000 2018,RT @CNN: President Trump's estranged adviser Steve Bannon tells a far-right gathering in France that they should handle accusations of raci…,-0.3182,0.0,0.108,0.892,142
442,@CNN,KayLee,Sat Mar 10 22:39:52 +0000 2018,RT @moekamerow: @CNN  https://t.co/eK3WkMCzQ3,0.0,0.0,0.0,1.0,143
443,@CNN,Jonathan,Sat Mar 10 22:39:51 +0000 2018,@9x18mm @jbristol11 @IngrahamAngle @CNN Just stating a fact 🤷,0.0,0.0,0.0,1.0,144
444,@CNN,Carmel baptiste-Wojtyla10/16/1978,Sat Mar 10 22:39:51 +0000 2018,RT @CNN: President Trump's estranged adviser Steve Bannon tells a far-right gathering in France that they should handle accusations of raci…,-0.3182,0.0,0.108,0.892,145
445,@CNN,MGM,Sat Mar 10 22:39:46 +0000 2018,@CNN When a democrat accuses someone of racism it’s usually because they have no legitimate arguement. That’s what he means.,-0.8271,0.0,0.352,0.648,146
446,@CNN,Tracy,Sat Mar 10 22:39:46 +0000 2018,"RT @CNN: Fred Guttenberg, whose daughter died in the Florida school shooting, rips new NRA ad: ""If this was put out by a terrorist organiza…",-0.8519,0.0,0.274,0.726,147
447,@CNN,KayLee,Sat Mar 10 22:39:46 +0000 2018,RT @willhoerter: @moekamerow @CNN I saved this Newsweek magazine for Hillary just in case she wants to read about a real deplorable scumbag…,0.4215,0.123,0.0,0.877,148
448,@CNN,Barbara Byrne 👻 💂,Sat Mar 10 22:39:45 +0000 2018,@PaulHollywood @malejudge @TheSun @nytimes @thismorning @CNN @TheSlyStallone @TheEllenShow @ThisAmerLife @BBCWorld… https://t.co/0FWHLGabEc,0.0,0.0,0.0,1.0,149
449,@CNN,Pravin,Sat Mar 10 22:39:45 +0000 2018,RT @mayamagic22: We had a productive meeting at Senator @RoyBlunt 's office. The field representative patiently listened to our stories. We…,0.0,0.0,0.0,1.0,150
450,@FoxNews,Triggerpuller,Sat Mar 10 22:40:33 +0000 2018,"@OfficialJonZal @7SinsOfTrump @FoxNews Hey, now that’s a tweet! The ancestors of these fools said TR wasn’t a Repub… https://t.co/rLBH8YwC7k",-0.5411,0.0,0.179,0.821,1
451,@FoxNews,liz dueñas,Sat Mar 10 22:40:32 +0000 2018,"RT @FoxNews: On @foxandfriends, @dbongino explained that @TheDemocrats have given up trying to win back lost voters and instead want to cur…",0.4215,0.193,0.087,0.72,2
452,@FoxNews,1 317-607-2837,Sat Mar 10 22:40:32 +0000 2018,@Franklin_Graham @FoxNews We all have an extraordinary journey with God by our side. Life is a privilege of Grace,0.7506,0.33,0.0,0.67,3
453,@FoxNews,cwilliams1113wy,Sat Mar 10 22:40:31 +0000 2018,@FoxNews @AGBecerra Wrong....the failure is owned by the Democratics...,-0.5106,0.0,0.292,0.708,4
454,@FoxNews,Mike North,Sat Mar 10 22:40:30 +0000 2018,"@msuhajda @FoxNews @POTUS @Saccone4PA18 No,but knew he would win the day he announced ,guys been better than even I… https://t.co/DGHOqUxRQv",0.7717,0.271,0.0,0.729,5
455,@FoxNews,David James,Sat Mar 10 22:40:29 +0000 2018,"RT @OfficialJonZal: Dear Republicans, 

Stop saying “Trump is not a Republican.” He’s yours. You responded to the election of a brilliant,…",0.1027,0.119,0.101,0.78,6
456,@FoxNews,Justice for Kate,Sat Mar 10 22:40:28 +0000 2018,RT @TuckerCarlson: Democrats aren't simply the pro-immigration party. They've become the anti-border party. The party opposed to citizenshi…,0.7964,0.351,0.0,0.649,7
457,@FoxNews,Selene G,Sat Mar 10 22:40:27 +0000 2018,"RT @soylasoberana: @UniNoticias @jorgeramosnews @FoxNews Más q enfrentar, es un FRESCO. La estrella conservadora se lo comió vivo! No lo de…",-0.3595,0.0,0.116,0.884,8
458,@FoxNews,Francois d'Ottawa,Sat Mar 10 22:40:27 +0000 2018,"RT @KIR_bigg50: So why they accusing you of being a @FoxNews puppet, but not accuse David Hogg of being a CNN, ABC, MSNBC, Washington Post,…",0.1043,0.077,0.061,0.862,9
459,@FoxNews,SherriMutts4me,Sat Mar 10 22:40:27 +0000 2018,"@KendallMigues @JulieBanderas @POTUS @HappeningNow @FoxNews Yep, I just turn off the bias. Refuse to watch or dvr, no ratings from me!",-0.4389,0.091,0.251,0.659,10
460,@FoxNews,Bryan Upchurch,Sat Mar 10 22:40:25 +0000 2018,"@FoxNews @foxandfriends @dbongino @TheDemocrats fox staffers, see those old farts in the office? Roger A’s B team?t… https://t.co/KeaWerUjS2",0.0,0.0,0.0,1.0,11
461,@FoxNews,Felicia Brown,Sat Mar 10 22:40:25 +0000 2018,"RT @FoxNews: .@AntonioSabatoJr on gun violence in Hollywood: ""The NRA has done more to protect the American people than Hollywood could eve…",-0.5606,0.101,0.229,0.67,12
462,@FoxNews,Charlie Foxtrot,Sat Mar 10 22:40:23 +0000 2018,@FoxNews 90% of the time he isn't and your network plays it off as gospel so why do you pretend that you aren't biased news?,0.343,0.14,0.051,0.808,13
463,@FoxNews,Matt Brockman,Sat Mar 10 22:40:23 +0000 2018,"@FoxNews There appears to be a typo in the article: ""meeting"" is typo'd ""meeeting"" @KittyKatMeow4",0.0,0.0,0.0,1.0,14
464,@FoxNews,PeterT,Sat Mar 10 22:40:22 +0000 2018,"RT @FoxNews: .@Saccone4PA18: ""The Democratic Party has always been against the taxpayer."" #Cavuto https://t.co/TLds53nu5N",0.4019,0.172,0.0,0.828,15
465,@FoxNews,Lee,Sat Mar 10 22:40:22 +0000 2018,@Jasongoofygrape @FoxNews @jasoninthehouse Doesn't look good for the dolt in the W H? I would bet the house the inf… https://t.co/k1DQQ7CF29,-0.3412,0.0,0.118,0.882,16
466,@FoxNews,Nunya Biznes,Sat Mar 10 22:40:22 +0000 2018,RT @SanMateogirl11: ABC News star Joy Behar: Hanging with Farrakhan 'baggage'; talking to Jesus 'mental illness' via the @FoxNews App https…,0.2732,0.149,0.106,0.745,17
467,@FoxNews,B The Trigger,Sat Mar 10 22:40:22 +0000 2018,"RT @FoxNews: .@thejeremyhunt: “We should be able to stand up and say that racism has no skin color, hate is hate and it ought to be condemn…",-0.9287,0.0,0.373,0.627,18
468,@FoxNews,LNPcommonsense,Sat Mar 10 22:40:21 +0000 2018,"RT @FoxNews: OPINION: Even when Trump is right, mainstream media downplays it rather than be honest -- and more media embarrassments https:…",0.0828,0.126,0.113,0.761,19
469,@FoxNews,AskYourMama,Sat Mar 10 22:40:21 +0000 2018,RT @FoxNews: BREAKING: A standoff with a suspect believed to have gunned down a California police officer has ended with the accused shoote…,-0.5267,0.0,0.196,0.804,20
470,@FoxNews,FrantasticFran,Sat Mar 10 22:40:21 +0000 2018,"RT @FoxNews: Happening Now: @POTUS departs from JBA for Pittsburgh - For full coverage of President Trump's rally with @Saccone4PA18, tune…",0.0,0.0,0.0,1.0,21
471,@FoxNews,realisticone,Sat Mar 10 22:40:19 +0000 2018,"RT @FoxNews: .@thejeremyhunt: “We should be able to stand up and say that racism has no skin color, hate is hate and it ought to be condemn…",-0.9287,0.0,0.373,0.627,22
472,@FoxNews,eighyfourbastards,Sat Mar 10 22:40:18 +0000 2018,@mutter01 @JulioAn24007208 @MitchellDStein1 @IronmanMann @CNN @FoxNews Cnn supporter we all knew but here is the pr… https://t.co/KCo5tvgrzF,0.1406,0.088,0.0,0.912,23
473,@FoxNews,Speculawyer 🇳🇴-American,Sat Mar 10 22:40:17 +0000 2018,"@FoxNews Ugh. Reminds me of that scene in Full Metal Jacket. 
https://t.co/RjLFZmunq8",-0.4215,0.0,0.203,0.797,24
474,@FoxNews,Timothy Cochrane,Sat Mar 10 22:40:16 +0000 2018,@FoxNews @foxandfriends @dbongino @TheDemocrats Democrats won the presidential election by 3 million.votes. Republi… https://t.co/RaZ3XXQlv4,0.5719,0.236,0.0,0.764,25
475,@FoxNews,Michael Arriaga,Sat Mar 10 22:40:16 +0000 2018,"RT @FoxNews: On @foxandfriends, @dbongino explained that @TheDemocrats have given up trying to win back lost voters and instead want to cur…",0.4215,0.193,0.087,0.72,26
476,@FoxNews,Shadow,Sat Mar 10 22:40:15 +0000 2018,"@FoxNews Please call me a Leftard. Please call me a leftwing nut job with my Liberal agenda 
#callmeleft https://t.co/54hAf1ipD0",0.5574,0.235,0.0,0.765,27
477,@FoxNews,confused,Sat Mar 10 22:40:15 +0000 2018,@FoxNews Tide pods,0.0,0.0,0.0,1.0,28
478,@FoxNews,Trump Hop,Sat Mar 10 22:40:14 +0000 2018,"RT @realDonaldTrump: Wow, you are all correct about @FoxNews - totally biased and disgusting reporting.",-0.3086,0.182,0.29,0.527,29
